P2W,P2A,P2D,P1W,P1A,P1D,N1W,N1A,N1D,N2W,N2A,N2D,FW,FA,FD
"sure","JJ|UH|RB","JJ","the","ATI|RB_2|NC","ATI","movement","NN|VBD","NN","was","BEDZ","BEDZ","labour","NN|VB","NN"
"round","IN|RP|JJ","RP","in","IN|RP|RB_1","IN","of","IN|RB_1|IN_3","IN","his","PPG|PPGG","PPG","support","NN|VB","NN"
"U&period;S","NP","NP","Polaris","NP","NP","in","IN|RP|RB_1","IN","Britain","NP","NP","base","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","party","NN|NC","NN","opposed","VBN|IN_2|VBD","VBD","labour","NN|VB","NN"
"out","RP|IN|JJB","RP","of","IN|RB_1|IN_3","IN","and","CC|RB_1|RB_2","CC","vulnerable","JJ","JJ","date","NN|VB","NN"
"than","IN|CS|RB_2","CS","on","IN|RP|RB_3","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","land","NN|VB","NN"
"why","WRB|UH","WRB","the","ATI|RB_2|NC","ATI","party","NN|NC","NN","did","DOD","DOD","labour","NN|VB","NN"
"in","IN|RP|RB_1","IN","his","PPG|PPGG","PPG","&comma;","SCOM","SCOM","truly","RB","RB","view","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","U&period;S","NP","NP","upon","IN|NC","IN","the","ATI|RB_2|NC","ATI","attack","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","last","AP|RB_2|VB","AP","from","IN|IN_2|RB_2","IN","aggressive","JJ","JJ","resort","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","Polaris","NP","NP","&period;","SPER|IN","SPER","<O>","<O>","<O>","base","NN|VB","NN"
"bargaining","NN","NN","by","IN|RP|IN_1","IN","officers","NNS","NNS","and","CC|RB_1|RB_2","CC","branch","NN|VB","NN"
"President","NPT","NPT","&apos;s","GENM|BEZ|HVZ","GENM","to","TO|IN|IN_2","IN","London","NP|NC","NP","visit","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","Polaris","NP","NP","&comma;","SCOM","SCOM","whether","CS","CS","base","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","Polaris","NP","NP","has","HVZ","HVZ","generated","VBN","VBN","base","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","second","OD|NN|RB","OD","is","BEZ|NC","BEZ","concerned","VBN|JJ|VBD","VBN","reason","NN|VB","NN"
"degree","NN","NN","of","IN|RB_1|IN_3","IN","over","IN|RP|RB","IN","the","ATI|RB_2|NC","ATI","control","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","Polaris","NP","NP","in","IN|RP|RB_1","IN","Britain","NP","NP","base","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","third","OD|NN|RB","OD","is","BEZ|NC","BEZ","that","CS|DT|WPR","CS","reason","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","supreme","JJ","JJ","for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","interest","NN|VB","NN"
"force","NN|VB|NC","NN","&rsquo;","SQSC","SQSC","for","IN|CS|IN_2","IN","services","NNS","NNS","aim","NN|VB","NN"
"Watkinson","NP","NP","at","IN|RB_1|NC","IN","on","IN|RP|RB_3","IN","five-year","JJB","JJB","work","NN|VB","NN"
"on","IN|RP|RB_3","IN","five-year","JJB","JJB","&period;","SPER|IN","SPER","<O>","<O>","<O>","plan","NN|VB","NN"
"next","AP|RB|RB_1","AP","white","JJ|NN","JJ","on","IN|RP|RB_3","IN","defence","NN","NN","paper","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","five-year","JJB","JJB","for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","plan","NN|VB","NN"
"<O>","<O>","<O>","its","PPG","PPG","will","MD|NN|VB","MD","be","BE|RB_2","BE","aim","NN|VB","NN"
"in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","structure","NN|VB","NN","and","CC|RB_1|RB_2","CC","command","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","command","NN|VB","NN","and","CC|RB_1|RB_2","CC","central","JJ","JJ","structure","NN|VB","NN"
"on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","for","IN|CS|IN_2","IN","some","DTI|PN_1|RB","DTI","plan","NN|VB","NN"
"&comma;","SCOM","SCOM","a","AT|AP_1|RB_1","AT","that","CS|DT|WPR","WPR","may","MD|NN|RB_1","MD","process","NN|VB","NN"
"confident","JJ","JJ","the","ATI|RB_2|NC","ATI","can","MD|NN","MD","be","BE|RB_2","BE","aim","NN|VB","NN"
"an","AT","AT","eventual","JJ","JJ","to","TO|IN|IN_2","IN","national","JJ|NN","JJ","return","NN|VB","NN"
"in","IN|RP|RB_1","IN","some","DTI|PN_1|RB","DTI","can","MD|NN","MD","not","XNOT","XNOT","form","NN|VB","NN"
"that","CS|DT|WPR","CS","the","ATI|RB_2|NC","ATI","has","HVZ","HVZ","been","BEN","BEN","point","NN|VB","NN"
"<O>","<O>","<O>","no","ATI|UH|RB","ATI","of","IN|RB_1|IN_3","IN","dispute","NN|VB","NN","question","NN|VB","NN"
"question","NN|VB","NN","of","IN|RB_1|IN_3","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","dispute","NN|VB","NN"
"out","RP|IN|JJB","RP","of","IN|RB_1|IN_3","IN","with","IN|IN_2|RI","IN","the","ATI|RB_2|NC","ATI","touch","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","utmost","JJB|NN","JJB","from","IN|IN_2|RB_2","IN","the","ATI|RB_2|NC","ATI","support","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","change","NN|VB","NN","&period;","SPER|IN","SPER","command","NN|VB","NN"
"<O>","<O>","<O>","command","NN|VB","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","change","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","due","JJ|NN|RB","JJ","to","TO|IN|IN_2","IN","delay","NN|VB","NN"
"felt","VBD|VBN|NN","VBD","the","ATI|RB_2|NC","ATI","would","MD","MD","be","BE|RB_2","BE","change","NN|VB","NN"
"for","IN|CS|IN_2","IN","this","DT|QL","DT","Sir","NPT","NPT","Francis","NP","NP","reason","NN|VB","NN"
"per","NNU_1|IN|FW","NNU_1","cent","NNU_2|NN","NNU_2","towards","IN","IN","the","ATI|RB_2|NC","ATI","swing","NN|VB","NN"
"from","IN|IN_2|RB_2","IN","the","ATI|RB_2|NC","ATI","&period;","SPER|IN","SPER","<O>","<O>","<O>","house","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","defeat","NN|VB","NN"
"<O>","<O>","<O>","fresh","JJ","JJ","on","IN|RP|RB_3","IN","fall-out","NN","NN","check","NN|VB","NN"
"such","ABL|IN_1|CS_1","ABL","a","AT|AP_1|RB_1","AT","&period;","SPER|IN","SPER","<O>","<O>","<O>","step","NN|VB","NN"
"foreign","JJ|NC","JJ","affairs","NNS","NNS","&comma;","SCOM","SCOM","said","VBD|VBN|JJ","VBD","debate","NN|VB","NN"
"rattled","VBD|VBN","VBN","into","IN","IN","&comma;","SCOM","SCOM","but","CC|IN|RI","CC","surrender","NN|VB","NN"
"Minister","NPT","NPT","of","IN|RB_1|IN_3","IN","&comma;","SCOM","SCOM","foreign","JJ|NC","JJ","state","NN|VB","NN"
"position","NN","NN","in","IN|RP|RB_1","IN","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","view","NN|VB","NN"
"&lsquo;","SQSO","SQSO","atomic","JJ","JJ","&rsquo;","SQSC","SQSC","and","CC|RB_1|RB_2","CC","blackmail","NN|VB","NN"
"pushed","VBD|VBN","VBN","into","IN","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","panic","NN|VB","NN"
"rattled","VBD|VBN","VBN","into","IN","IN","&comma;","SCOM","SCOM","and","CC|RB_1|RB_2","CC","surrender","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","two-day","JJB","JJB","on","IN|RP|RB_3","IN","foreign","JJ|NC","JJ","debate","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","his","PPG|PPGG","PPG","never","RB","RB","rose","VBD|NN|JJ","VBD","voice","NN|VB","NN"
"in","IN|RP|RB_1","IN","rapid","JJ","JJ","the","ATI|RB_2|NC","ATI","united","JJ|VBN|VBD","JJ","review","NN|VB","NN"
"Russia","NP","NP","&apos;s","GENM|BEZ|HVZ","GENM","&period;","SPER|IN","SPER","<O>","<O>","<O>","aim","NN|VB","NN"
"as","CS|IN|QL","CS","the","ATI|RB_2|NC","ATI","had","HVD|HVN","HVD","shown","VBN","VBN","debate","NN|VB","NN"
"atmosphere","NN","NN","of","IN|RB_1|IN_3","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","panic","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","&comma;","SCOM","SCOM","which","WDTR|WDT","WDTR","debate","NN|VB","NN"
"in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","each","DT|PPLS_1","DT","severely","RB","RB","debate","NN|VB","NN"
"Minister","NPT","NPT","of","IN|RB_1|IN_3","IN","&comma;","SCOM","SCOM","foreign","JJ|NC","JJ","state","NN|VB","NN"
"&comma;","SCOM","SCOM","former","AP","AP","defence","NN","NN","Minister","NPT","NPT","labour","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","about","IN|RB|RP","IN","such","ABL|IN_1|CS_1","ABL","trouble","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","rugby","NN","NN","in","IN|RP|RB_1","IN","&lsquo;","SQSO","SQSO","match","NN|VB","NN"
"to-night","NR","NR","&apos;s","GENM|BEZ|HVZ","GENM","&period;","SPER|IN","SPER","<O>","<O>","<O>","debate","NN|VB","NN"
"had","HVD|HVN","HVD","another","DT|PPLS_2","DT","at","IN|RB_1|NC","IN","the","ATI|RB_2|NC","ATI","tilt","NN|VB","NN"
"&apos;s","GENM|BEZ|HVZ","GENM","golf-course","NN","NN","conference","NN|NC","NN","&comma;","SCOM","SCOM","press","NN|VB","NN"
"&lsquo;","SQSO","SQSO","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","flabby","JJ","JJ","display","NN|VB","NN"
"brought","VBN|VBD","VBD","a","AT|AP_1|RB_1","AT","of","IN|RB_1|IN_3","IN","<O>","<O>","<O>","bark","NN|VB","NN"
"in","IN|RP|RB_1","IN","any","DTI|RB","DTI","of","IN|RB_1|IN_3","IN","Europe","NP","NP","part","NN|VB","NN"
"inspection","NN","NN","and","CC|RB_1|RB_2","CC","would","MD","MD","be","BE|RB_2","BE","control","NN|VB","NN"
"<O>","<O>","<O>","<O>","<O>","<O>","merited","VBD","VBD","&period;","SPER|IN","SPER","scorn","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","mild","JJ","JJ","heaped","VBN|VBD","VBN","on","IN|RP|RB_3","IN","scorn","NN|VB","NN"
"position","NN","NN","in","IN|RP|RB_1","IN","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","view","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","most","QL|AP|RBT","AP","&comma;","SCOM","SCOM","Mr","NPT|FW|NC","NPT","part","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","elephant","NN","NN","&comma;","SCOM","SCOM","an","AT","AT","seal","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","former","AP","AP","Solicitor-General","NPT","NPT","&comma;","SCOM","SCOM","labour","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","party","NN|NC","NN","national","JJ|NN","JJ","labour","NN|VB","NN"
"by","IN|RP|IN_1","IN","60","CD","CD","M&period;P&period;s","NPTS","NPTS","&comma;","SCOM","SCOM","labour","NN|VB","NN"
"letter","NN","NN","of","IN|RB_1|IN_3","IN","against","IN|IN_2|RI","IN","the","ATI|RB_2|NC","ATI","protest","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","for","IN|CS|IN_2","IN","nuclear","JJ","JJ","campaign","NN|VB","NN"
"formed","VBN|VBD|JJ","VBD","a","AT|AP_1|RB_1","AT","stretching","VBG|NN","NN","for","IN|CS|IN_2","IN","queue","NN|VB","NN"
"<O>","<O>","<O>","early","JJ|RB","JJ","on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","curb","NN|VB","NN"
"on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","sharks","NNS","NNS","&period;","SPER|IN","SPER","profit","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","new","JJ","JJ","and","CC|RB_1|RB_2","CC","property","NN","NN","issue","NN|VB","NN"
"one","CD1|PN_2|PPLS_1","CD1","property","NN","NN","through","IN|RP|JJB","IN","each","DT|PPLS_1","DT","deal","NN|VB","NN"
"<O>","<O>","<O>","in","IN|RP|RB_1","IN","to","TO|IN|IN_2","IN","the","ATI|RB_2|NC","ATI","reply","NN|VB","NN"
"ranging","VBG","VBG","in","IN|RP|RB_1","IN","from","IN|IN_2|RB_2","IN","torpedo-boats","NNS","NNS","size","NN|VB","NN"
"light","NN|JJ|VB","NN","&comma;","SCOM","SCOM","&comma;","SCOM","SCOM","transport","NN|VB","NN","heat","NN|VB","NN"
"heat","NN|VB","NN","&comma;","SCOM","SCOM","and","CC|RB_1|RB_2","CC","medical","JJ","JJ","transport","NN|VB","NN"
"said","VBD|VBN|JJ","VBD","Moscow","NP","NP","&apos;s","GENM|BEZ|HVZ","GENM","commentator","NN","NN","radio","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","provoked","VBD|VBN","VBD","a","AT|AP_1|RB_1","AT","market","NN|VB","NN"
"violent","JJ","JJ","personal","JJ|RB","JJ","by","IN|RP|IN_1","IN","one","CD1|PN_2|PPLS_1","CD1","attack","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","&lsquo;","SQSO","SQSO","&rsquo;","SQSC","SQSC","from","IN|IN_2|RB_2","IN","shame","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","conservative","JJ|NN","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","side","NN|VB","NN"
"waved","VBD","VBD","his","PPG|PPGG","PPG","at","IN|RB_1|NC","IN","Mr","NPT|FW|NC","NPT","hand","NN|VB","NN"
"Fell","NP","NP","&apos;s","GENM|BEZ|HVZ","GENM","was","BEDZ","BEDZ","unprecedented","JJ","JJ","attack","NN|VB","NN"
"had","HVD|HVN","HVD","the","ATI|RB_2|NC","ATI","on","IN|RP|RB_3","IN","one","CD1|PN_2|PPLS_1","CD1","effect","NN|VB","NN"
"Fell","NP","NP","&apos;s","GENM|BEZ|HVZ","GENM","had","HVD|HVN","HVD","&comma;","SCOM","SCOM","attack","NN|VB","NN"
"&comma;","SCOM","SCOM","rallied","VBN|VBD","VBN","to","TO|IN|IN_2","IN","the","ATI|RB_2|NC","ATI","support","NN|VB","NN"
"confined","VBN|JJ|VBD","VBD","his","PPG|PPGG","PPG","to","TO|IN|IN_2","IN","the","ATI|RB_2|NC","ATI","reply","NN|VB","NN"
"maximised","VBN","VBN","his","PPG|PPGG","PPG","&period;","SPER|IN","SPER","&rsquo;","SQSC","SQSC","support","NN|VB","NN"
"conservative","JJ|NN","JJ","and","CC|RB_1|RB_2","CC","opposition","NN","NN","&comma;","SCOM","SCOM","labour","NN|VB","NN"
"in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","tomorrow","NR","NR","and","CC|RB_1|RB_2","CC","debate","NN|VB","NN"
"with","IN|IN_2|RI","IN","a","AT|AP_1|RB_1","AT","to","TO|IN|IN_2","IN","meeting","NN|VBG","VBG","view","NN|VB","NN"
"European","JNP|NNP","JNP","free","JJ|VB|RB","JJ","association","NN","NN","partners","NNS|VBZ","NNS","trade","NN|VB","NN"
"with","IN|IN_2|RI","IN","a","AT|AP_1|RB_1","AT","to","TO|IN|IN_2","IN","joining","VBG|NN","VBG","view","NN|VB","NN"
"at","IN|RB_1|NC","IN","this","DT|QL","DT","&comma;","SCOM","SCOM","Mr","NPT|FW|NC","NPT","point","NN|VB","NN"
"<O>","<O>","<O>","&lsquo;","SQSO","SQSO","&period;","SPER|IN","SPER","&rsquo;","SQSC","SQSC","shame","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","close","RB|JJ|VB","JJ","of","IN|RB_1|IN_3","IN","Mr","NPT|FW|NC","NPT","associate","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","market","NN|VB","NN"
"<O>","<O>","<O>","in","IN|RP|RB_1","IN","&period;","SPER|IN","SPER","<O>","<O>","<O>","tune","NN|VB","NN"
"more","QL|AP|RBR","RBR","in","IN|RP|RB_1","IN","with","IN|IN_2|RI","IN","their","PPG","PPG","tune","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","two-day","JJB","JJB","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","debate","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","market","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","&comma;","SCOM","SCOM","we","PP1AS","PP1AS","market","NN|VB","NN"
"on","IN|RP|RB_3","IN","this","DT|QL","DT","on","IN|RP|RB_3","IN","Monday","NR","NR","point","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","than","IN|CS|RB_2","CS","by","IN|RP|IN_1","IN","market","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","market","NN|VB","NN"
"(","SBO","SBO","common","JJ|RB_2|NN","JJ",")","SBC","SBC","has","HVZ","HVZ","market","NN|VB","NN"
"board","NN|VB|IN_2","NN","of","IN|RB_1|IN_3","IN","played","VBD|VBN","VBD","a","AT|AP_1|RB_1","AT","trade","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","conspicuous","JJ","JJ","&comma;","SCOM","SCOM","&rsquo;","SQSC","SQSC","part","NN|VB","NN"
"by","IN|RP|IN_1","IN","cheap","JJ","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","labour","NN|VB","NN"
"too","QL|RB","QL","much","AP|RB","AP","&comma;","SCOM","SCOM","&rsquo;","SQSC","SQSC","shelter","NN|VB","NN"
"but","CC|IN|RI","CC","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","advantage","NN","NN","balance","NN|VB","NN"
"in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","markets","NNS","NNS","size","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","common","JJ|RB_2|NN","JJ","&comma;","SCOM","SCOM","our","PPG","PPG","market","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","gold","NN|JJ","NN","&comma;","SCOM","SCOM","Selwyn","NP","NP","rush","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","August","NR|NP","NR","holiday","NN","NN","the","ATI|RB_2|NC","ATI","bank","NN|VB","NN"
"brought","VBN|VBD","VBD","the","ATI|RB_2|NC","ATI","to","TO|IN|IN_2","IN","a","AT|AP_1|RB_1","AT","figure","NN|VB","NN"
"to","TO|IN|IN_2","IN","a","AT|AP_1|RB_1","AT","&pound;","NNU","NNU","2&comma;415&comma;000&comma;000","CD","CD","record","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","1960","CD","CD","set","VBN|NN|VBD","VBN","last","AP|RB_2|VB","AP","record","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","other","AP|PPLS_2","AP","of","IN|RB_1|IN_3","IN","all","ABN|RB|RB_1","ABN","side","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","central","JJ","JJ","&apos;s","GENM|BEZ|HVZ","GENM","weekly","JJ|RB","JJ","bank","NN|VB","NN"
"&apos;s","GENM|BEZ|HVZ","GENM","weekly","JJ|RB","JJ","&hellip;","SELL","SELL","&hellip;","SELL","SELL","return","NN|VB","NN"
"in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","special","JJ|NC|NN","JJ","form","NN|VB","NN"
"with","IN|IN_2|RI","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","England","NP","NP","bank","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","budgette","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","appeal","NN|VB","NN"
"<O>","<O>","<O>","this","DT|QL","DT","has","HVZ","HVZ","been","BEN","BEN","figure","NN|VB","NN"
"on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","&comma;","SCOM","SCOM","he","PP3A","PP3A","book","NN|VB","NN"
"Winter","NP","NP","&apos;s","GENM|BEZ|HVZ","GENM","would","MD","MD","have","HV","HV","mount","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","other","AP|PPLS_2","AP","is","BEZ|NC","BEZ","two","CD","CD","hand","NN|VB","NN"
"is","BEZ|NC","BEZ","little","JJ|AP|RB_2","AP","that","CS|DT|WPR","CS","he","PP3A","PP3A","doubt","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","finishing","NN|JJ|VBG","NN","than","IN|CS|RB_2","IN","Dandy","NP","NP","speed","NN|VB","NN"
"to","TO|IN|IN_2","IN","second","OD|NN|RB","OD","in","IN|RP|RB_1","IN","the","ATI|RB_2|NC","ATI","place","NN|VB","NN"
"<O>","<O>","<O>","good","JJ|NN|AP_2","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","form","NN|VB","NN"
"here","RN","RN","&dash;","SDSH","SDSH","that","CS|DT|WPR","WPR","looked","VBD|VBN","VBD","form","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","close","RB|JJ|VB","JJ","of","IN|RB_1|IN_3","IN","it","PP3|NC","PP3","race","NN|VB","NN"
"too","QL|RB","QL","much","AP|RB","AP","&comma;","SCOM","SCOM","providing","VBG|CS|CS_1","CS","speed","NN|VB","NN"
"novices","NNS","NNS","&apos;","GENM|FW","GENM","is","BEZ|NC","BEZ","at","IN|RB_1|NC","IN","clash","NN|VB","NN"
"turn","VB|NN","NN","of","IN|RB_1|IN_3","IN","to","TO|IN|IN_2","IN","brilliant","JJ","JJ","speed","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","1958","CD","CD","hurdle","NN","NN","&comma;","SCOM","SCOM","champion","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","great","JJ|AP_2|NP","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","race","NN|VB","NN"
"<O>","<O>","<O>","the","ATI|RB_2|NC","ATI","?","SQM","SQM","<O>","<O>","<O>","blot","NN|VB","NN"
"on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","&dash;","SDSH","SDSH","as","CS|IN|QL","CS","handicap","NN|VB","NN"
"now","RN|CS_1|CS","RN","no","ATI|UH|RB","ATI","that","CS|DT|WPR","CS","the","ATI|RB_2|NC","ATI","doubt","NN|VB","NN"
"national","JJ|NN","NN","in","IN|RP|RB_1","IN","of","IN|RB_1|IN_3","IN","a","AT|AP_1|RB_1","AT","favour","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","doubtful","JJ","JJ","was","BEDZ","BEDZ","clinched","VBN","VBN","issue","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","mole","NN","NN","&period;","SPER|IN","SPER","<O>","<O>","<O>","handicap","NN|VB","NN"
"ministry","NN","NN","of","IN|RB_1|IN_3","IN","last","AP|RB_2|VB","AP","night","NN","NN","labour","NN|VB","NN"
"into","IN","IN","a","AT|AP_1|RB_1","AT","&period;","SPER|IN","SPER","<O>","<O>","<O>","strike","NN|VB","NN"
"players","NNS","NNS","&apos;","GENM|FW","GENM","is","BEZ|NC","BEZ","due","JJ|NN|RB","JJ","strike","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","notices","NNS|VBZ","NNS","&period;","SPER|IN","SPER","strike","NN|VB","NN"
"an","AT","AT","eased","VBD|VBN|JJ","JJ","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","form","NN|VB","NN"
"retain","VB|NN","NN","and","CC|RB_1|RB_2","CC","system","NN","NN","&period;","SPER|IN","SPER","transfer","NN|VB","NN"
"football","NN","NN","league","NN","NN","chairmen","NNS","NNS","this","DT|QL","DT","club","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","small","JJ|NN","JJ","of","IN|RB_1|IN_3","IN","players","NNS","NNS","number","NN|VB","NN"
"avoiding","VBG|JJ","VBG","a","AT|AP_1|RB_1","AT","&period;","SPER|IN","SPER","&rsquo;","SQSC","SQSC","strike","NN|VB","NN"
"on","IN|RP|RB_3","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","issue","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","system","NN","NN","&period;","SPER|IN","SPER","transfer","NN|VB","NN"
"for","IN|CS|IN_2","IN","the","ATI|RB_2|NC","ATI","of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI","defeat","NN|VB","NN"
"last","AP|RB_2|VB","AP","league","NN","NN","&comma;","SCOM","SCOM","claiming","VBG|NN","VBG","club","NN|VB","NN"
"the","ATI|RB_2|NC","ATI","Newcastle","NP","NP","transferred","VBN|VBD|JJ","VBN","to","TO|IN|IN_2","IN","star","NN|VB","NN"
"by","IN|RP|IN_1","IN","his","PPG|PPGG","PPG","would","MD","MD","be","BE|RB_2","BE","club","NN|VB","NN"
"him","PP3O","PP3O","another","DT|PPLS_2","DT","before","IN|CS|RI","IN","June","NR|NP","NR","club","NN|VB","NN"
"and","CC|RB_1|RB_2","CC","his","PPG|PPGG","PPG","wished","VBD|VBN","VBD","to","TO|IN|IN_2","TO","club","NN|VB","NN"
"&comma;","SCOM","SCOM","the","ATI|RB_2|NC","ATI","would","MD","MD","have","HV","HV","club","NN|VB","NN"
"behind","IN|RP","IN","the","ATI|RB_2|NC","ATI","&period;","SPER|IN","SPER","<O>","<O>","<O>","strike","NN|VB","NN"
"a","AT|AP_1|RB_1","AT","frontal","JJ","JJ","&period;","SPER|IN","SPER","<O>","<O>","<O>","attack","NN|VB","NN"
"<O>","<O>","<O>","his","PPG|PPGG","PPG","&period;","SPER|IN","SPER","<O>","<O>","<O>","name","NN|VB","NN"
"is","BEZ|NC","BEZ","the","ATI|RB_2|NC","ATI","&period;","SPER|IN","SPER","<O>","<O>","<O>","name","NN|VB","NN"
"<O>","<O>","<O>","his","PPG|PPGG","PPG","sat","VBD|VBN","VBD","opposite","JJ|IN|RI","IN","partner","NN|VB","NN"
"<O>","<O>","<O>","his","PPG|PPGG","PPG","?","SQM","SQM","<O>","<O>","<O>","name","NN|VB","NN"
"behind","IN|RP","IN","the","ATI|RB_2|NC","ATI","is","BEZ|NC","BEZ","so","QL|RB|PN","QL","strike","NN|VB","NN"
"&lsquo;","SQSO","SQSO","a","AT|AP_1|RB_1","AT","&apos;s","GENM|BEZ|HVZ","BEZ","the","ATI|RB_2|NC","ATI","strike","NN|VB","NN"
"England","NP","NP","cricket","NN","NN","ever","RB|RB_2|WDT_2","RB","invited","VBN|VBD|JJ","VBD","team","NN|VB","NN"
"of","IN|RB_1|IN_3","IN","the","ATI|RB_2|NC","ATI",":","SCOL|IN","SCOL","<O>","<O>","<O>","team","NN|VB","NN"
